file_name,height,width,bbox,age,race,masked,skintone,emotion,gender,crop_name
72501076.jpg,666,2000,"[1000.5960568109156, 20.449498411348603, 281.7105213989262, 353.59480894201926]",0,0,0,0,0,1,8668.jpg
6442628.jpg,2000,1333,"[424.9848831858407, 391.0000000000003, 354.0151168141596, 491.6028671562243]",0,1,0,1,5,1,6321.jpg
95548772.jpg,1333,2000,"[664.2199723552678, 152.99999999999895, 174.78103829522342, 230.99999999999906]",1,0,0,2,1,1,13350.jpg
95045660.jpg,1125,2000,"[581.4810126582277, 38.0, 602.5189873417729, 790.1518987341769]",0,1,0,1,0,0,13303.jpg
63192703.jpg,2000,2000,"[1226.3060931434923, 84.03281674580678, 100.70169080747928, 109.9696999556508]",0,0,0,2,1,0,5949.jpg
70292752.jpg,1334,2000,"[702.6283671391647, 146.21041519116304, 647.8079006074984, 845.3703375337884]",1,0,1,0,0,1,8031.jpg
48836561.jpg,2000,1333,"[482.9949999999994, 405.9999999999998, 293.0105000000003, 388.00000000000045]",0,0,0,1,1,1,3616.jpg
38103808.jpg,1334,2000,"[680.9999999999999, 183.75476970183635, 168.88554934031293, 232.24523029816368]",0,1,0,0,3,1,1995.jpg
1193577.jpg,2000,1328,"[652.1175202961198, 228.97036603111417, 169.76812374636694, 235.9617463866673]",0,1,0,0,1,1,508.jpg
68028435.jpg,1329,2000,"[966.8177270616297, 239.0374623554739, 358.91228700537584, 393.2299698843794]",0,2,0,3,1,1,7349.jpg
38639096.jpg,1333,2000,"[899.8813952685454, 244.3660269107264, 217.87084096001163, 332.29069052659895]",0,1,0,1,3,1,2036.jpg
10112033.jpg,2000,1333,"[407.98539305301193, 370.9999999999997, 358.0068738574007, 461.9999999999955]",0,1,0,1,0,1,49.jpg
image_5764.jpg,1024,1024,"[189.0880359966415, 148.50835364164521, 617.4451455677581, 820.6361143146942]",1,0,0,1,1,0,14610.jpg
49349342.jpg,1335,2000,"[783.9999999999983, 249.00000000000003, 251.99918593754415, 300.9999999999998]",0,0,0,1,0,1,3712.jpg
73246732.jpg,2000,1865,"[1030.9380492457728, 480.94539259821477, 152.06195075422158, 175.55069655737256]",1,0,0,1,5,0,8860.jpg
8745515.jpg,2000,1333,"[404.0000000000001, 500.680000000003, 549.6562589734516, 690.8499999999989]",0,1,0,1,1,1,12487.jpg
image_5768.jpg,1024,1024,"[184.2541768208225, 209.36885126985626, 569.2325039529809, 747.4650079059622]",3,0,0,1,1,0,15136.jpg
74802713.jpg,1987,2000,"[992.0529441936486, 828.7858998581655, 113.11568838532513, 156.38670219607408]",2,0,0,1,1,1,9259.jpg
70614701.jpg,1333,2000,"[1467.0004181125012, 146.08352826480603, 107.04302379076277, 147.4608307227485]",0,0,0,1,1,0,8157.jpg
76007696.jpg,1498,2000,"[808.9999999999999, 197.00000000000037, 1107.6859035004723, 912.5025252525254]",1,0,0,0,0,1,9567.jpg
87512595.jpg,1335,2000,"[1265.301541629584, 238.00000000000082, 235.7729728912053, 324.9999999999994]",0,1,0,1,1,1,12501.jpg
image_159.jpg,1024,1024,"[273.0099311691022, 160.4252832295546, 601.3986447771626, 810.9783271321595]",0,0,0,0,1,1,14151.jpg
98453515.jpg,1330,2000,"[1063.7545862702978, 482.69325935120895, 317.2454137297056, 459.07217427030383]",2,1,0,1,1,0,13575.jpg
78181000.jpg,1333,2000,"[755.6262150310737, 244.57181546727787, 238.74756993784922, 306.4281845327221]",0,1,0,1,1,0,10137.jpg
73911939.jpg,2000,1333,"[386.15989763765066, 202.23418033722277, 366.8207540524371, 438.5299834407623]",0,2,0,3,0,1,9041.jpg
74039454.jpg,1333,2000,"[671.7034810392103, 262.1554975525467, 267.4827310671957, 357.9691349098112]",0,1,1,1,0,1,9067.jpg
